iter	Passed	Remaining
574	5107	83723
575	5116	83709
576	5125	83702
577	5133	83673
578	5142	83674
579	5152	83678
580	5160	83661
581	5169	83654
582	5178	83644
583	5187	83641
584	5196	83636
585	5205	83629
586	5216	83642
587	5224	83624
588	5232	83611
589	5242	83612
590	5251	83603
591	5260	83600
592	5269	83593
593	5278	83581
594	5287	83580
595	5295	83553
596	5303	83537
597	5312	83519
598	5321	83518
599	5329	83501
600	5338	83493
601	5347	83482
602	5356	83472
603	5365	83461
604	5373	83443
605	5381	83428
606	5389	83404
607	5399	83410
608	5409	83412
609	5418	83409
610	5427	83400
611	5437	83414
612	5445	83390
613	5454	83385
614	5463	83372
615	5473	83376
616	5482	83375
617	5492	83382
618	5501	83379
619	5510	83366
620	5519	83357
621	5527	83333
622	5535	83315
623	5544	83314
624	5553	83308
625	5563	83313
626	5572	83303
627	5581	83302
628	5590	83289
629	5599	83285
630	5608	83275
631	5617	83261
632	5627	83268
633	5636	83269
634	5644	83248
635	5652	83221
636	5661	83215
637	5670	83202
638	5679	83201
639	5687	83182
640	5696	83170
641	5704	83153
642	5713	83149
643	5723	83150
644	5732	83140
645	5741	83129
646	5750	83125
647	5759	83117
648	5767	83099
649	5777	83101
650	5787	83111
651	5796	83103
652	5805	83094
653	5813	83083
654	5823	83081
655	5832	83070
656	5841	83069
657	5850	83057
658	5858	83047
659	5867	83036
660	5876	83025
661	5884	83001
662	5892	82990
663	5901	82974
664	5910	82966
665	5920	82975
666	5929	82974
667	5938	82965
668	5946	82945
669	5956	82942
670	5964	82919
671	5973	82913
672	5981	82897
673	5991	82907
674	6000	82892
675	6008	82873
676	6017	82866
677	6026	82855
678	6035	82846
679	6043	82837
680	6052	82824
681	6061	82812
682	6070	82805
683	6078	82793
684	6087	82786
685	6096	82773
686	6106	82776
687	6115	82770
688	6124	82761
689	6133	82752
690	6141	82730
691	6150	82725
692	6158	82712
693	6167	82704
694	6175	82676
695	6184	82668
696	6192	82656
697	6201	82650
698	6209	82629
699	6218	82614
700	6228	82623
701	6236	82601
702	6245	82593
703	6253	82580
704	6263	82577
705	6271	82565
706	6281	82563
707	6290	82558
708	6298	82536
709	6308	82542
710	6317	82535
711	6326	82529
712	6335	82520
713	6344	82510
714	6353	82506
715	6361	82489
716	6371	82486
717	6378	82464
718	6388	82459
719	6396	82446
720	6405	82440
721	6414	82425
722	6423	82423
723	6432	82418
724	6440	82396
725	6449	82381
726	6457	82372
727	6467	82366
728	6475	82356
729	6485	82363
730	6494	82350
731	6502	82333
732	6511	82320
733	6520	82312
734	6528	82298
735	6537	82283
736	6545	82266
737	6553	82248
738	6561	82229
739	6571	82233
740	6580	82223
741	6589	82217
742	6597	82200
743	6607	82203
744	6615	82186
745	6623	82167
746	6632	82151
747	6641	82142
748	6650	82137
749	6658	82126
750	6667	82118
751	6677	82114
752	6686	82109
753	6695	82100
754	6703	82088
755	6712	82082
756	6721	82070
757	6729	82048
758	6738	82039
759	6747	82034
760	6755	82017
761	6765	82015
762	6773	82001
763	6783	82005
764	6791	81985
765	6800	81973
766	6808	81961
767	6818	81966
768	6827	81954
769	6836	81948
770	6844	81930
771	6854	81932
772	6863	81928
773	6872	81913
774	6880	81901
775	6889	81897
776	6897	81872
777	6907	81874
778	6916	81865
779	6925	81861
780	6934	81860
781	6944	81859
782	6953	81850
783	6961	81832
784	6970	81826
785	6980	81834
786	6988	81816
787	6997	81806
788	7005	81780
789	7015	81785
790	7024	81775
791	7031	81754
792	7040	81746
793	7050	81742
794	7058	81732
795	7068	81726
796	7075	81705
797	7084	81688
798	7093	81686
799	7102	81679
800	7109	81653
801	7118	81643
802	7127	81635
803	7136	81624
804	7145	81619
805	7154	81611
806	7164	81610
807	7172	81593
808	7181	81587
809	7191	81588
810	7199	81574
811	7207	81556
812	7215	81540
813	7224	81532
814	7233	81516
815	7241	81504
816	7251	81503
817	7259	81489
818	7269	81490
819	7277	81471
820	7286	81466
821	7295	81461
822	7305	81460
823	7314	81449
824	7323	81440
825	7332	81434
826	7340	81418
827	7349	81417
828	7358	81405
829	7366	81387
830	7375	81382
831	7384	81370
832	7392	81348
833	7401	81343
834	7411	81345
835	7420	81339
836	7429	81328
837	7437	81319
838	7446	81302
839	7455	81295
840	7464	81295
841	7474	81293
842	7482	81276
843	7490	81261
844	7498	81245
845	7508	81239
846	7516	81227
847	7525	81222
848	7535	81217
849	7543	81207
850	7553	81206
851	7562	81198
852	7570	81182
853	7578	81166
854	7589	81172
855	7597	81160
856	7606	81150
857	7614	81134
858	7622	81114
859	7630	81101
860	7640	81098
861	7649	81096
862	7658	81086
863	7667	81075
864	7676	81066
865	7683	81044
866	7692	81031
867	7701	81027
868	7710	81016
869	7719	81008
870	7727	80996
871	7737	80992
872	7745	80975
873	7754	80973
874	7764	80976
875	7773	80970
876	7783	80965
877	7791	80952
878	7800	80942
879	7809	80933
880	7818	80924
881	7828	80927
882	7836	80915
883	7845	80900
884	7853	80891
885	7862	80877
886	7870	80864
887	7880	80861
888	7889	80854
889	7897	80842
890	7906	80826
891	7915	80823
892	7924	80818
893	7933	80809
894	7942	80805
895	7951	80788
896	7958	80763
897	7966	80747
898	7976	80746
899	7985	80741
900	7994	80736
901	8002	80718
902	8012	80718
903	8021	80707
904	8029	80695
905	8038	80691
906	8048	80692
907	8056	80675
908	8067	80683
909	8076	80679
910	8085	80671
911	8094	80662
912	8103	80655
913	8113	80653
914	8122	80648
915	8131	80641
916	8140	80635
917	8149	80622
918	8157	80608
919	8166	80604
920	8175	80587
921	8184	80581
922	8192	80571
